Name,Category,Latitude,Longitude,Area,Distance to center
LPP postajališče Barje,Bus Stop,46.01361102424778,14.511414548420227,5,4221.2877491214695
LPP postajališče Spodnji Rudnik,Bus Line,46.023627000000005,14.540104999999999,17,4057.818163069567
LPP Postajališče NS Rudnik,Bus Stop,46.02021792804378,14.535107646640807,17,4130.698455639439
Lpp Postajališče Na Gmajnici,Bus Station,46.030425053889154,14.442336651202492,20,5458.678355124563
LPP postajališče Cesta v Gorice,Bus Stop,46.032295,14.465183999999999,21,3813.342718388979
Barje P+R,Bus Stop,46.02691482773798,14.50000439604816,24,2762.951506779917
Lpp Postajalisce Ilovica,Bus Station,46.02714920043945,14.5117769241333,25,2731.9915650586986
lpp postajališče Ižanska,Bus Stop,46.03179307248782,14.51632844116134,25,2319.607257698005
LPP postajališče Rakovnik,Bus Line,46.03034226096045,14.531811475753784,26,3073.2172819479297
lpp Postajališč Peruzzijeva,Bus Line,46.02863405040912,14.523376419740336,26,2863.0180872764863
LPP postajališče Akademija,Bus Line,46.032158206822366,14.529234405005894,26,2790.289603233825
Postajališče Jurčkova,Bus Station,46.02644348144531,14.52777862548828,26,3242.947485337793
Lpp Postajališče Mihov Stradon,Bus Station,46.029529231919966,14.521748451011801,26,2716.939541108453
LPP Postajališče Gornji Rudnik,Bus Stop,46.027958,14.535480999999999,27,3459.428562416389
Avtobusna linija Ljubljana - Vrhnika,Bus Line,46.03386814362678,14.450604450040776,30,4716.9775610346205
LPP postajališče Dolgi most,Bus Station,46.03646850822065,14.463898742745855,31,3664.0111077601723
LPP postajališče Bonifacija,Bus Station,46.03965260609171,14.472577606201805,32,2904.7558106891643
Avtobus,Bus Station,46.040229,14.473678,32,2799.9222600588373
LPP postajališče Vič,Bus Station,46.042114580883705,14.477810496949155,32,2420.6824062567507
Lpp Mestni Log,Bus Station,46.037838,14.482951000000002,33,2341.832497646425
LPP postajališče Krimska,Bus Station,46.03695894993629,14.490025759296017,33,2031.352294355898
LPP postajališče Koprska,Bus Station,46.03534219375416,14.484233481753929,33,2460.1429527277082
LPP postajališče Gerbičeva,Bus Station,46.04089216160281,14.489848108988907,33,1716.850356755919
Lpp postajalisce Veliki Stradon,Bus Station,46.0371904533161,14.504612538635413,34,1584.426856051845
LPP postajališče Murgle,Bus Station,46.038478614252206,14.499739486908526,34,1518.9643776643152
LPP postajališče Ziherlova,Bus Station,46.03913013305442,14.49778251362176,34,1508.754535642142
LPP postajališče Trnovo,Bus Station,46.04106771757533,14.509067904022936,35,1172.0891138842246
LPP postajališče Livada,Bus Station,46.034500760423605,14.517548247119999,35,2077.8071564866104
LPP postajališče Strelišče,Bus Line,46.03871406416822,14.51767086982727,35,1671.3203998457398
LPP Postajališče Podmornica,Bus Station,46.047294,14.464703,41,3236.0442019460884
Lpp Postajališče Pot R. Križa,Bus Stop,46.04710832549471,14.461334158234315,41,3497.118266785035
LPP Postajalisce Viško polje,Bus Station,46.046373979670385,14.469057853660596,42,2920.652431124273
LPP postajališče Živalski vrt,Bus Station,46.04674427171285,14.474844703292439,42,2473.59775845424
LPP postajališče Jamnikarjeva,Bus Station,46.04505910557138,14.4744873046875,42,2546.114969857703
LPP postajališče Hajdrihova,Bus Line,46.0457275202911,14.490273715513474,43,1377.738801643532
LPP postajalisce Jamova,Bus Station,46.04435,14.487646,43,1629.246787106843
LPP postajališče Glince,Bus Station,46.043535104541895,14.482572700612936,43,2019.9941128089065
LPP postajališče Študentsko naselje,Bus Station,46.04961636166441,14.48843479156494,43,1381.267186594269
LPP Postajališče Cesta XV,Bus Station,46.04604263814229,14.48077088344188,43,2048.742854785022
LPP postajališče Stan in Dom,Bus Station,46.04453158453259,14.486030599681303,43,1730.8593695032096
LPP postajališče Jadranska,Bus Station,46.043651043792295,14.488481243417258,43,1613.0572124405728
LPP Rozna dolina,Bus Station,46.04869729823475,14.482135580050551,43,1878.6824492130213
LPP postajališče Križanke,Bus Station,46.046343688725216,14.501948155903367,44,647.9677533401324
LPP postajališče Aškerčeva,Bus Station,46.04673215968684,14.498874536246195,44,763.1731921232903
LPP postajališče Konzorcij,Bus Station,46.051284113790295,14.502982558172873,44,241.3377955467222
LPP linija 9,Bus Line,46.048119545046795,14.50129393897896,44,521.2354150920573
LPP postajališče Drama,Bus Station,46.04864500330232,14.501812753529322,44,451.85453842176827
LPP postajališče Cankarjev dom,Bus Station,46.049886641297405,14.4973976588078,44,694.082512972986
LPP postajališče Tobačna,Bus Station,46.04698847600097,14.493691963724801,44,1078.3623937862842
LPP postajališče Mirje,Bus Station,46.04459419993248,14.500588984466937,44,869.0179954357402
LPP postajališče Gornji trg,Bus Station,46.045810648722906,14.506192522117438,45,622.1532042666005
LPP postajališče Krekov trg,Bus Station,46.050466668598034,14.510612400232231,45,364.85073364147536
LPP postajališče Privoz,Bus Station,46.044051,14.511157999999998,45,906.7121645849325
LPP postajališče Ambrožev trg,Bus Station,46.0497427434225,14.516752057654227,45,845.2132149929953
LPP postajališče Poljanska,Bus Line,46.05014943390568,14.516248114552512,45,798.0512289568111
LPP postajališče Streliška,Bus Station,46.044621,14.51689,45,1125.5929539632173
Urban e-bus,Bus Stop,46.050338,14.506762,45,129.57841979365008
LPP postajališče Roška,Bus Station,46.04859758812263,14.519808989638172,46,1106.307515029511
LPP postajališče Glonarjeva,Bus Station,46.050114304008,14.526609071272476,46,1594.0578641531824
LPP postajališče Gornje Poljane,Bus Station,46.04893386626835,14.522862453813907,46,1326.4279809994268
LPP postajališče Emona,Bus Station,46.04761432548497,14.545028282572785,48,3042.494618909479
LPP Linija 23,Bus Line,46.05245971679688,14.472606658935552,52,2594.397179281583
Pod Rožnikom,Bus Line,46.0515818901345,14.492321302272464,53,1066.2125413115614
LPP postajališče Bavarski dvor,Bus Station,46.055213242556476,14.50499708107372,54,431.4745010741595
LPP postajališče Hotel Lev,Bus Station,46.05604354813313,14.502190975427926,54,597.3767408543389
LPP postajališče Pošta,Bus Station,46.052071760945466,14.5032703719207,54,230.79841692088416
LPP postajališče Ajdovščina,Bus Station,46.0538892850911,14.504534566171207,54,301.1544882564171
LPP linija 6,Bus Line,46.054598969802896,14.504399453659966,54,378.2493238690069
LPP linija 25,Bus Line,46.05984501216498,14.498266011398835,54,1116.5540916255213
LPP postajališče Dalmatinova,Bus Station,46.05418759000465,14.505129007515073,54,317.9390053868103
LPP postajališče Tivoli,Bus Station,46.05995070602405,14.497854709625244,54,1143.8753381802167
LPP postajališče Gosposvetska,Bus Station,46.05587792490919,14.502260997603278,54,578.7741652747012
LPP linija 14,Bus Line,46.05525470469619,14.50489977808783,54,437.5247064706821
LPP linija 3B,Bus Line,46.054063953376655,14.503949007764867,54,338.802198546332
"Avtobusna postaja, Tivolska",Bus Station,46.05584716796875,14.499273300170898,54,722.6972682703082
Avtobusna postaja Ljubljana / Ljubljana Bus Station,Bus Station,46.05767453033261,14.509573798096087,55,746.7768671402281
LPP linija 5,Bus Line,46.053981826724865,14.508731923557992,55,351.4120382087848
Bus Ljubljana Autobusna Postaja - Brnik/Airport Ljubljana,Bus Line,46.057827,14.509224,55,753.4818409321684
LPP postajališče Ilirska,Bus Station,46.053051990382784,14.513822112691164,55,625.2474540026028
LPP linija 20,Bus Line,46.05438093168684,14.512224966358865,55,578.1112215796777
Bus via Nova gorica,Bus Line,46.057645,14.510473999999999,55,771.6644116100798
busje naar bled,Bus Line,46.057718,14.510229,55,770.9051943120323
LPP postajališče Hrvatski trg,Bus Station,46.05224430782131,14.518132209777832,55,936.132210522902
LPP postajališče Kolodvor,Bus Station,46.05756789222666,14.511150764945581,55,788.5981174773854
LPP linija 13,Bus Line,46.053528047939345,14.510476977824904,55,412.9276062966135
LPP postajališče Zmajski Most,Bus Station,46.05222524924071,14.50868082391932,55,219.72794600696795
LPP postajališče Tavčarjeva,Bus Station,46.05467280300892,14.506452063846627,55,363.9856211309468
FlixBus Haltestelle,Bus Stop,46.05759810024254,14.509377479553224,55,733.4611154021442
Arriva Alpetour Bus 28 Avtobusna postaja Ljubljana > Letališče,Bus Stop,46.057662,14.509032999999999,55,731.4102622505284
LPP postajališče Bolnica,Bus Station,46.054149747841755,14.527673327863374,56,1697.4577596352856
LPP linija 2,Bus Line,46.05917984696145,14.520778870290313,56,1427.381962224563
LPP postajališče Klinični center,Bus Station,46.052498823342184,14.520723179530187,56,1138.4955395767054
LPP postajališče Viadukt,Bus Station,46.059508846812236,14.520642471372485,56,1441.5471125559625
LPP linija 27,Bus Line,46.05824204438821,14.52078622823642,56,1367.2947725995461
Avtobusno postajališče Viadukt,Bus Station,46.059514,14.520894,56,1457.1518877337421
LPP postajališče Poliklinika,Bus Station,46.053675,14.519110000000001,56,1038.215156684906
LPP postajališče Kodeljevo,Bus Station,46.051820389842995,14.539289474487305,57,2569.300789168401
LPP postajališče ob Sotočju,Bus Station,46.05424092738162,14.540178559713144,57,2656.376072031755
Lpp Postajalisce Stepanja Vas,Bus Station,46.05192573051949,14.53900888981206,57,2547.8248664377275
LPP postajališče Zaloška,Bus Station,46.05593816389418,14.54209753902435,57,2831.253031479818
LPP postajališče  Kajuhova,Bus Station,46.05625102231111,14.540567213672492,57,2721.451649144635
LPP postajališče Tržnica Moste,Bus Station,46.055863232912294,14.534518921096645,57,2254.6781849310514
LPP postajališče Brodarjev trg,Bus Station,46.05438392428557,14.553028497165547,58,3647.122782484231
LPP postajališče Štepanjsko naselje,Bus Line,46.05346428448277,14.547984204657352,58,3249.7897621551424
Postajalisce Rusjanov trg,Bus Station,46.05449879490057,14.562682298011884,59,4392.643727225428
LPP postajališče Chengdujska,Bus Station,46.05240710456631,14.564833344676652,59,4547.096163336072
LPP postajališče Preglov trg,Bus Station,46.0545862969197,14.558651560621295,59,4082.563259166171
LPP postajališče Draga,Bus Station,46.067599,14.475845999999999,62,2952.639127991259
LPP linija 1,Bus Line,46.06286711858913,14.492880822604823,63,1633.4731056027595
