Name,Category,Latitude,Longitude,Area,Distance to center
Kitajski Zmaj,Chinese Restaurant,46.01363379397718,14.511406235504431,5,4218.706161117976
Kava-linčk,Café,46.00879906333865,14.544174246569815,7,5578.617074904046
Cavallino caffe,Café,46.008836427993295,14.544482350804847,7,5587.741561099703
Gostilnica Orle,Eastern European Restaurant,46.014997704723996,14.570146472341705,9,6400.478085845947
Gostilna Vrbinc,Restaurant,46.02155872794145,14.523250077927258,16,3573.646557493861
Gostišče Vrbinc,Restaurant,46.021480472809344,14.523312091696427,16,3583.506365145393
Bife Pr' Janković,Brazilian Restaurant,46.02164431292936,14.52570216351442,16,3639.792765053175
Super Pšanc,Fast Food Restaurant,46.02236761947211,14.521185895972328,16,3432.7186334900543
Restavracija Rutar,Restaurant,46.01806178776182,14.529166443869025,16,4114.311136637085
Moj Lokal,Café,46.020447,14.537434,17,4210.476777610921
Kavarna Mon ami,Café,46.0203,14.537022,17,4205.606072899555
Piazza Del Papa,Pizza Place,46.021733314621976,14.536842689634225,17,4067.476641926127
Cmokač,Restaurant,46.02128561428298,14.541075852304552,17,4306.102556178354
Caffeina,Café,46.02025909161407,14.536459450278914,17,4184.730407096529
Running Sushi & Wok,Sushi Restaurant,46.0217347780851,14.536855559016022,17,4067.9277933103554
Po Domace,Restaurant,46.02160988523859,14.536917407940226,17,4081.9894354390735
Segafredo Espresso,Coffee Shop,46.02175364186736,14.536869044830409,17,4066.839180070921
Kavarna Rajska ptica,Café,46.022030235851666,14.536702272785854,17,4034.3630874343376
Dober Tek,Restaurant,46.02169979518664,14.536861023672742,17,4071.3289540934493
Dober Pek,Bakery,46.021777,14.536852,17,4063.9617584381936
Okrepcevalnica TO JE TO,BBQ Joint,46.01568984985352,14.542471885681152,17,4867.448229069693
Ledeni Raj,Dessert Shop,46.021696122319526,14.536830072803928,17,4070.259125427776
Choice Ice Cream,Ice Cream Shop,46.021587,14.536542,17,4067.1443495030135
Kavarna Poligon,Café,46.02170580110567,14.536851315170322,17,4070.3478120999653
